OBJECTID,EPA Region,EPA Program,EPA ID,Site Name,Feature Class,Feature Type,Feature Name,Feature Description,Last Change Date,Original Creation Date,Feature Source,Feature Info URL,Feature Info URL Description,Projection Used,GIS Area,GIS Area Units,Data Disclaimer,Site Info URL,Site NPL Status,Site Federal Facility Determination,Site Address,Site Address Comment,Site City,Site County,Site State,Site Zip,Site RPM,Site RPM Phone,Site RPM Email,ORIG_FID,POINT_X,POINT_Y
11,1,Superfund Remedial,MED980732291,PINETTE'S SALVAGE YARD,5,Extent of Contamination,Approximate Pinette's Salvage Yard Site Boundary,"12- acre site located at Gardner Creek Rd, Washburn, ME.  Site still minimally used as a small salvage yard.",2022-12-31,2016-12-31 16:00,U.S. EPA Region 1,https://semspub.epa.gov/work/01/100015136.pdf,2020 FYR,WGS84,7.424533205,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/pinette,D,N,GARDNER CREEK RD,,WASHBURN,AROOSTOOK,ME,04786,Almerinda Silva,(617) 918-1246,Silva.Almerinda@epa.gov,11,-68.16960034,46.77823094
12,1,Superfund Remedial,MAD980520696,SUTTON BROOK DISPOSAL AREA,5,Comprehensive Site Area,Approximate Sutton Brook Disposal Area Site Bounda,"The Site is located on approximately 100 acres of land to the east of South Street in the Town of Tewksbury, Middlesex County, Massachusetts, which is zoned for residential/commercial use.  A small portion of the Site (approximately 2 acres) also extends into the Town of Wilmington.  ",2022-12-31,2016-12-31 16:00,U.S. EPA Region 1,https://semspub.epa.gov/work/01/632844.pdf,5-year Review,WGS84,76.58640379,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/suttonbrook,F,N,OFF OF SOUTH STREET,,TEWKSBURY,MIDDLESEX,MA,01876,Kimberly White,(617) 918-1752,white.kimberly@epa.gov,12,-71.17804598,42.59424596
13,1,Superfund Remedial,CTD001186618,"RAYMARK INDUSTRIES, INC.",5,Comprehensive Site Area,"Approximate Raymark Industries, Inc. Site Boundary","Raymark OU5 - Four acre area (within OU7) near the Housatonic Boat Club and the former Shakespeare Theater bordering on the Housatonic River.  Area was previously a wetland which was filled with contaminated material. 
Raymark OU7 - Area includes approx. 26 acres of wetlands, shoreline, and a small pond along the Housatonic River from the Broad Street bridge to the Harbour View docks.  Area has been impacted by shoreline filling and surface water transport of contaminated materials.
Raymark OU8 - Area includes approximately 14 acres of wetlands and shoreline along the Housatonic River from the Harbour View docks to One Beacon Point Road.  Area has been impacted by shoreline filling and surface water transport of contaminated materials.",2022-12-31,2016-12-31 16:00,U.S. EPA Region 1,,,WGS84,312.2751593,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/raymark,F,N,75 EAST MAIN STREET,,STRATFORD,FAIRFIELD,CT,06614,Jim Dilorenzo,(617) 918-1247,dilorenzo.jim@epa.gov,13,-73.1189778,41.19861616
14,1,Superfund Remedial,MAD980732168,WELLS G&H,5,Comprehensive Site Area,Approximate Wells G&H Site Boundary,"The 330-acre Wells G&H site is located in Woburn, Massachusetts. The site consists of two municipal wells, known as wells G & H, which were developed in 1964 and 1967 to supplement Woburn’s water supplies. In 1979, it was discovered that the wells had been contaminated by industrial waste from neighboring properties. Both wells were shut down in 1979, and a supplemental water supply was arranged for the city. EPA placed the site on the Superfund program’s National Priorities List (NPL) in 1983. Site cleanup is ongoing.",2022-12-31,2016-12-31 16:00,U.S. EPA Region 1,https://semspub.epa.gov/work/01/16796.pdf,,WGS84,284.8350429,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/wellsgh,F,N,ABERJONA RIVER VALLEY,,WOBURN,MIDDLESEX,MA,01801,Joseph Lemay,(617) 918-1323,Lemay.Joe@epa.gov,14,-71.12884755,42.49754612
15,1,Superfund Remedial,NHD001091453,NEW HAMPSHIRE PLATING CO.,5,Extent of Contamination,Approximate New Hampshire Plating Co. Site Boundar,"The Site is located in the Town of Merrimack, in Hillsborough County. From 1962 to 1985, the New Hampshire Plating Company (NHPC) operated an
electroplating facility primarily on two parcels, totaling about 13 acres, comprising the
Site, as defined in the 1998 ROD. This Site boundary is expanded to include the current extent of groundwater contamination.",2022-12-31,2016-12-31 16:00,U.S. EPA Region 1,,,WGS84,19.40423096,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/nhplating,F,N,WRIGHT AVE.,,MERRIMACK,HILLSBOROUGH,NH,03054,Valerie Jurgens,(617) 918-1346,jurgens.valerie@epa.gov,15,-71.48865687,42.85613795
16,1,Superfund Remedial,NHD980503361,MOTTOLO PIG FARM,5,Comprehensive Site Area,Approximate Mottolo Pig Farm Site Boundary,"The Mottolo property is located along Blueberry Hill Road in Raymond, New Hampshire. The Mottolo property, formerly used as a pig farm, is approximately 3 miles south of the Town of Raymond’s center and is surrounded by residential properties. The Mottolo property includes approximately 50 acres of primarily undeveloped wooded land divided roughly in half by a brook.",2022-12-31,2016-12-31 16:00,U.S. EPA Region 1,,,WGS84,18.20987753,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/mottolo,F,N,BLUEBERRY HILL RD,,RAYMOND,ROCKINGHAM,NH,03077,Joe Cunningham,(617) 918-1458,cunningham.joseph@epa.gov,16,-71.17427313,42.98944721
17,1,Superfund Remedial,MED981073711,EASTERN SURPLUS,5,OU Boundary Aggregation,Approximate Eastern Surplus Site Boundary,"The 5-acre Eastern Surplus Site is located in Meddybemps, Maine. From 1946 to the early 1980s, the Eastern Surplus Company, a retailer of army surplus and salvage items, operated on site. Facility operations contaminated soil and groundwater with hazardous chemicals. ",2022-12-31,2016-12-31 16:00,U.S. EPA Region 1,,,WGS84,5.739352419,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/eastern,F,N,ROUTE 191,,MEDDYBEMPS,WASHINGTON,ME,04657,Benjamin Kuhaneck,(617) 918-1296,kuhaneck.benjamin@epa.gov,17,-67.35709605,45.03989109
18,1,Superfund Remedial,MED980731475,O'CONNOR CO.,5,OU Boundary Aggregation,Approximate O'Connor Co. Site Boundary,"The O’Connor Site consists of approximately 23 acres within a 28-acre property owned by Central Maine Power (CMP) and is located on U.S. Route 17 on the eastern outskirts of Augusta, Maine. (Figure 1) The surrounding area is predominantly rural. The property is bordered on the east by Riggs Brook, a small northerly flowing tributary of the Kennebec River, on the north and northwest by woodlands, and on the south by Route 17. The property south of Route 17 is generally wooded. A residence abuts the CMP property along its western boundary and there are additional residential properties farther to the west all of which are served by public water supplies. The Site is located within a Rural Residential Zone. Properties to the northwest are located in a Regional Business Zone. The MEDEP-designated Hazardous Substance Site consists of the same 23 acres within the 28acre property.",2022-12-31,2016-12-31 16:00,U.S. EPA Region 1,,4th Five Year Review,WGS84,26.28816092,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/oconnor,D,N,"EASTERN AVE, RT 17",,AUGUSTA,KENNEBEC,ME,04330,Benjamin Kuhaneck,(617) 918-1296,kuhaneck.benjamin@epa.gov,18,-69.73727821,44.3033566
19,1,Superfund Remedial,MED980520241,SACO TANNERY WASTE PITS,5,Current Ground Boundary,Approximate Saco Tannery Waste Pits Site Boundary,"The Saco Tannery site is approximately a 212 acre parcel that is bounded by the Maine Turnpike to the east, residential properties to the west, Flag pond Road to the South and woods and fields to the north. The site operated as a tanning company which purchased the property for disposal of its process wastes. The boundary includes the approximate full parcel the site is associated with.   ",2022-12-31,2016-12-31 16:00,Unknown,,,WGS84,221.3191319,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/sacotannery,D,N,FLAG POND RD,,SACO,YORK,ME,04072,Taylor Freeman,(857) 278-2514,freeman.taylor@epa.gov,19,-70.42249587,43.56217576
20,1,Superfund Remedial,VTD000509174,"TANSITOR ELECTRONICS, INC.",5,Extent of Contamination,"Approximate Tansitor Electronics, Inc. Site Bounda","The Site is located in the Town of Bennington, Vermont, approximately 3.5 miles west of Bennington Center and consists of approximately 44 acres of land on West Road (Route 9).  Most of the Site (37.6 acres) is north of Route 9, with the remainder (6.6 acres) to the south of Route 9.  The entire site is a single OU.",2022-12-31,2016-12-31 16:00,U.S. EPA Region 1,https://semspub.epa.gov/work/01/100012234.pdf,2019 Five Year Revie,WGS84,42.88417585,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/tansitor,D,N,WEST RD,,BENNINGTON,BENNINGTON,VT,05201,Ronald Jennings,(617) 918-1242,Jennings.Ron@epa.gov,20,-73.26531741,42.87763334
21,1,Superfund Remedial,MED042143883,"UNION CHEMICAL CO., INC.",5,OU Boundary Aggregation,"Approximate Union Chemical Co., Inc. Site Boundary","The 12-acre Union Chemical Company, Inc. site is in Hope, Maine. The Union Chemical Company began operations on site in 1967 formulating paint and coating strippers. In 1969, the company expanded its operations and began handling and recovering petrochemical-based solvents. In 1976, the company received a state permit for an underground disposal system (a septic system) for its process wastewater.",2022-12-31,2016-12-31 16:00,Unknown,,,WGS84,12.82420185,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/union,D,N,RTE 17,,SOUTH HOPE,KNOX,ME,04862,Benjamin Kuhaneck,(617) 918-1296,kuhaneck.benjamin@epa.gov,21,-69.19645775,44.21431112
22,1,Superfund Remedial,MAD001002252,"W.R. GRACE & CO., INC. (ACTON PLANT)",5,Current Ground Boundary,"Approximate W.R. Grace & Co., Inc. (Action Plant) ","The W.R. Grace & Co., Inc. (Acton Plant) site is located in the towns of Acton and Concord in Massachusetts. The site was the former location of the American Cyanamid Co. and the Dewey & Almy Chemical Co. These companies produced sealants for rubber containers, latex products, plasticizers, resins and other products. W. R. Grace bought the properties and operations in 1954. The Grace operations included production of materials used to make concrete, container sealing compounds, latex products and paper and plastic battery separators. Effluent wastes were disposed of in several unlined lagoons; solid and hazardous wastes were placed into an on-site industrial landfill and several other disposal areas. In addition, byproducts of some chemical processes were also disposed of in an area called the Blowdown Pit. Grace stopped all discharges to the unlined pits in 1980.",2022-12-31,2016-12-31 16:00,2005 Record of Decision ,https://semspub.epa.gov/work/01/100011742.pdf,2019 Five Year Revie,WGS84,367.6619565,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/graceacton,F,N,50 INDEPENDENCE RD,,ACTON,MIDDLESEX,MA,01720,Kara Nierenberg,(617) 918-1435,nierenberg.kara@epa.gov,22,-71.42095019,42.4597061
